埃	*qˤə 
鱣	*tra[n] 
厃	*[t.q]am 
瞻	*[t.q]am 
詹	*[t]am 
噡	*[t]am 
占	*tem 
饘	*t-qa[n] 
氈	*ta[n] 
鸇	*ta[n] 
饘	*t-qa[n]ʔ 
輾	*tre[n]ʔ 
搌	*trenʔ 
展	*trenʔ 
展	*tra[n]-s 
斬	*[ts]ramʔ 
盞	*[ts]rarʔ 
棧	*[dz]ˤr[a][n]ʔ 
棧	*[dz]ˤr[a][n]-s 
棧	*[dz]r[a][n]ʔ 
轏	*[dz]r[a][n]ʔ (dzrj- > dzr-)
襢	*tra[n]ʔ 
襢	*tra[n]ʔ 
襢	*tra[n]ʔ-s 
戰	*tar-s 
戰	*tar-s 
張	*C.traŋ 
章	*taŋ 
獐	*taŋ 
璋	*taŋ 
長	*traŋʔ 
掌	*[k.t]aŋʔ 
丈	*[d]raŋʔ 
帳	*traŋ-s 
啁	*tˤriw 
朝	*t<r>aw 
昭	*taw 
爪	*[ts]ˤ<r>uʔ 
㕚	*[ts]ˤ<r>uʔ 
沼	*tawʔ 
濯	*lˤrewk-s 
櫂	*lˤrewk-s 
趙	*[d]rewʔ 
兆	*lr[a]wʔ 
召	*[d]raw-s 
罩	*tˤrawk-s 
炤	*taw-s 
照	*taw-s 
詔	*taw-s 
遮	*tA 
謫	*m-tˤrek 
蟄	*[d]rip 
轍	*[d]ret 
慹	*nˤ[i]p 
輒	*t-nˤep 
乇	*tˤrak 
謫	*C.tˤrek 
輒	*[t]rep 
耴	*t-nrep 
哲	*tr[e]t 
悊	*tr[e]t 
晢	*t[a]t-s 
懾	*[t.n][e]p 
慹	*t-nep 
晢	*t[a]t 
折	*tet 
者	*tAʔ 
赭	*tAʔ 
柘	*tAk-s 
蔗	*tAk-s 
椹	*tr[ə]m 
珍	*trə[n] 
貞	*treŋ 
貞	*treŋ 
蓁	*[ts]ri[n] 
榛	*tsri[n] 
箴	*t.[k]əm 
鍼	*t.[k]əm 
針	*t.[k]əm 
斟	*t.[q][ə]m 
甄	*t.qi[n] 
真	*ti[n] 
縝	*ti[n] 
振	*tər 
診	*m-t<r>ə[n]ʔ-s 
辴	*tʰrər 
辴	*tʰrərʔ 
枕	*[t.k][ə]mʔ 
㐱	*t[ə][n]ʔ 
稹	*ti[n]ʔ 
鬒	*ti[n]ʔ 
畛	*tə[n]ʔ 
袗	*tə[n]ʔ 
軫	*tə[n]ʔ 
診	*tə[n]ʔ 
朕	*lrəmʔ 
酖	*[l]r[ə]m-s 
鴆	*[l]r[ə]m-s 
陳	*lri[n]-s 
陣	*lri[n]-s 
疹	*tʰrə[n]-s 
鎮	*t<r>i[n]-s 
枕	*[t.k][ə]mʔ-s 
振	*tər-s 
震	*tər-s 
崢	*[dz]ˤreŋ 
丁	*tˤreŋ 
徵	*trəŋ 
爭	*[ts]ˤreŋ (~ *m-tsˤreŋ or *mə-tsˤreŋ)
烝	*təŋ 
脀	*təŋ 
蒸	*təŋ 
正	*C.teŋ 
征	*teŋ 
撜	*təŋʔ 
拯	*təŋʔ 
抍	*təŋʔ 
整	*teŋʔ 
鄭	*[d]reŋ-s 
證	*təŋ-s 
正	*teŋ-s 
政	*teŋ-s 
証	*teŋ-s 
知	*tre 
蜘	*tre 
之	*tə 
之	*tə 
脂	*kij 
織	*tək 
汁	*[t.k][ə]p 
支	*ke 
支	*ke 
枝	*ke 
肢	*ke 
胑	*ke 
觶	*tar 
隻	*tek 
植	*N-t<r>ək-s 
植	*m-t<r>ək-s 
直	*N-t<r>ək 
躑	*[d]rek 
殖	*N-tək 
埴	*[d]ək 
殖	*m-tək 
植	*m-tək 
稙	*trək 
縶	*t<r>ip 
樴	*tək 
職	*tək 
執	*[t]ip 
慹	*t-nip (dialect *t-n- > *t-)
摭	*tAk 
祉	*[tʰ]rəʔ 
黹	*tr[i]jʔ 
茝	*t-qəʔ 
止	*təʔ 
趾	*təʔ 
旨	*kijʔ 
指	*mə.kijʔ 
砥	*tijʔ 
紙	*k.teʔ 
咫	*keʔ 
豸	*[d]ˤreʔ 
治	*lrə-s 
值	*m-t<r>ək-s 
雉	*lr[i]jʔ 
稚	*lrəj-s 
稺	*lrəj-s 
豸	*[d]reʔ 
滯	*[d]r[a][t]-s 
彘	*[l]r[a][t]-s 
置	*trək-s 
疐	*[t-l]ri[t]-s 
質	*[t]<r>ip-s 
致	*t<r>i[t]-s 
陟	*trək 
窒	*[t]ri[t] 
智	*tre-s 
楖	*[ts]rik 
志	*tə-s 
識	*tək-s 
誌	*tək-s 
摯	*[t]ip-s 
鷙	*[t]ip-s 
至	*ti[t]-s 
質	*t-lit 
炙	*tAk-s 
寘	*ke-s 
示	*ke-s 
瘈	*ke[t]-s 
狾	*ke[t]-s 
制	*tet-s 
製	*tet-s 
炙	*tAk 
潨	*[N-s-t]ˤuŋ 
中	*truŋ 
忠	*truŋ 
妐	*t-qoŋ 
鍾	*toŋ 
鍾	*toŋ 
鐘	*toŋ 
終	*tuŋ 
螽	*tuŋ 
潨	*tuŋ 
冢	*[t]roŋʔ (or *[t]<r>oŋʔ ?)
種	*k.toŋʔ 
腫	*toŋʔ 
重	*N-t<r>oŋʔ 
重	*N-t<r>oŋʔ-s 
仲	*N-truŋ-s 
中	*truŋ-s 
種	*(mə-)toŋʔ-s 
眾	*tuŋ-s 
周	*tiw 
周	*tiw 
舟	*tu 
州	*tu 
洲	*tu 
粥	*t-quk 
鬻	*t-quk 
軸	*lruk 
疛	*[t]ruʔ 
肘	*t-[k]<r>uʔ 
帚	*[t.p]əʔ 
箒	*[t.p]əʔ 
紂	*[d]ruʔ 
酎	*[d]ruʔ 
冑	*[l]ru-s 
驟	*N-tsˤroʔ-s 
騶	*m-[ts]ˤro(k)-s 
晝	*truk-s 
咮	*tˤ<r>ok-s 
皺	*[ts]ˤro-s 
縐	*[ts]ˤro-s 
祝	*[t]uk-s 
豬	*tra 
株	*tro 
蛛	*tro 
誅	*tro 
邾	*tro 
諸	*ta 
諸	*ta 
朱	*to 
朱	*to 
侏	*to 
逐	*[l]riwk 
瘃	*[t]rok 
竹	*truk 
燭	*tok 
朮	*m.lut (~ *mə.lut)
褚	*traʔ 
拄	*t<r>oʔ 
壴	*t<r>oʔ-s 
煑	*[t]aʔ 
煮	*[t]aʔ 
䰞	*[t]aʔ 
渚	*taʔ 
陼	*taʔ 
屬	*tok 
斗	*toʔ 
主	*toʔ 
竚	*m-[t]raʔ 
紵	*mə-draʔ 
箸	*[d]<r>ak-s 
除	*lra-s 
柱	*m-t<r>oʔ 
住	*dro(ʔ)-s 
助	*[dz]ra-s 
著	*t<r>ak-s 
注	*tro(ʔ)-s 
築	*truk 
馵	*to(k)-s 
鑄	*tu-s (MC F!)
祝	*[t]uk 
祝	*tuk 
抓	*[ts](ˤ)ru 
抓	*tsˤ<r>uʔ 
髽	*[ts]ˤroj 
專	*ton 
轉	*mə-tronʔ 
轉	*tronʔ 
傳	*N-tron-s 
撰	*[dz]ro[n]ʔ 
傳	*tron-s 
妝	*[ts]raŋ 
莊	*[ts]raŋ 
撞	*N-tˤ<r>oŋ-s 
狀	*[dz]raŋ-s 
壯	*[ts]<r>aŋ-s 
追	*truj 
隹	*tur 
沝	*turʔ 
隊	*m.lru[t]-s 
墜	*m.lru[t]-s 
屯	*trun 
淳	*tur 
淳	*turʔ 
準	*turʔ 
桌	*tˤrawk (no pre-Qín exx.)
卓	*tˤrawk 
捉	*[ts](ˤ)rok 
拙	*[t]ot 
濁	*[N-tˤ]rok 
擢	*lˤrewk 
濯	*lˤrewk 
著	*m-t<r>ak 
躅	*[d]rok 
斲	*Cə.tˤrok 
啄	*mə-tˤ<r>ok 
著	*t<r>ak 
叕	*trot-s 
叕	*trot 
斮	*[ts]rak 
斮	*[ts]rak 
茁	*s-[k]rot 
茁	*s-[k]rot (tsrj- > tsr-)
繳	*[t]ewk 
斫	*tak 
勺	*tewk 
酌	*tewk 
滋	*[ts]ə 
咨	*[ts]ij 
粢	*[ts]ij 
資	*[ts]ij 
諮	*[ts]ij 
齍	*[ts]ij 
緇	*[ts]rə 
子	*[ts]əʔ 
梓	*[ts]əʔ 
子	*tsəʔ 
姊	*[ts][i]jʔ 
秭	*[ts][i]jʔ 
訾	*s-N-tse(j) 
字	*mə-dzə(ʔ)-s 
自	*s.[b]i[t]-s 
自	*s.[b]i[t]-s 
柴	*[C.dz]ˤre(j) 
恣	*tsi[t]-s 
從	*tsoŋ 
宗	*[ts]ˤuŋ 
緵	*[ts]ˤoŋ 
稯	*[ts]ˤoŋ 
豵	*[ts]ˤoŋ 
總	*[ts]ˤoŋ 
緫	*[ts]ˤoŋ 
揔	*[ts]ˤoŋ 
總	*[ts]ˤoŋ 
緫	*[ts]ˤoŋʔ 
揔	*[ts]ˤoŋʔ 
從	*[dz]oŋ-s 
縱	*[ts]oŋ-s 
綜	*[s-t]ˤuŋ-s 
諏	*[ts]o 
掫	*tso 
騶	*[ts]ˤro 
掫	*tsˤro 
掫	*tsˤroʔ 
走	*[ts]ˤoʔ 
奏	*tsˤo(ʔ)-s 
族	*[dz]ˤok 
足	*[ts]ok 
足	*[ts]ok 
鏃	*[ts]ˤok 
鏃	*[ts]ˤok 
卒	*[ts]ut 
卒	*[ts]ˤut 
阻	*[ts]raʔ 
祖	*[ts]ˤaʔ 
鑽	*[ts]ˤor 
纂	*[ts]ˤo[n]ʔ 
䘒	*[ts]ˤu[r] 
朘	*[ts]ˤu[r] 
觜	*[ts]ojʔ 
罪	*[dz]ˤujʔ 
最	*[ts]ˤot-s 
醉	*Cə.tsu[t]-s 
遵	*[ts]u[n] 
尊	*[ts]ˤu[n] 
尊	*[ts]ˤu[n] 
樽	*[ts]ˤu[n] 
昨	*[dz]ˤak 
左	*tsˤa[j]ʔ 
左	*tsˤa[j]ʔ 
左	*tsˤarʔ-s 
佐	*tsˤarʔ-s (dialect: *-r > *-j)
胙	*[dz]ˤak-s 
坐	*[dz]ˤo[j]ʔ 
坐	*m-[dz]ˤo[j]ʔ 
座	*[dz]ˤo[j]ʔ-s 
坐	*[dz]ˤo[j]ʔ-s 
作	*[ts]ˤak 
糳	*[ts]ˤawk 
作	*[ts]ˤak-s 
